Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000135723	1.7222927195816533	-0.8275801095912848	0.3489384489213086	0.004447366084337561	0.021415699757033734	TRUE
ENSG00000130338	2.6019259875520167	-0.8289439298407439	0.4063709548281806	0.3560379581357534	0.4537876418916463	FALSE
ENSG00000279833	1.450854259834495	-0.8299162762556063	0.3039864403709667	0.15521029643569617	0.24583964598854063	FALSE
ENSG00000105738	1.7218739944390549	-0.8322919518603057	0.3498453278387749	0.4318451692137239	0.5309131604721403	FALSE
ENSG00000247400	1.3454651677404057	-0.8332010683234572	0.29400450490469354	0.3756740181353612	NA	NA
ENSG00000164620	1.6038518444503156	-0.8347056648395323	0.3514893250407372	0.003981963822818357	0.019787297150312758	TRUE
ENSG00000075142	1.168909366884981	-0.8379467855805594	0.2800338042203614	0.6946265001154237	NA	NA
ENSG00000124172	1.15407929607582	-0.8389127521916918	0.2796627354579593	0.7857032325299826	NA	NA
ENSG00000106052	1.980244700459603	-0.8389179095411917	0.3692276459730725	0.005377546455768084	0.02451717434068424	TRUE
ENSG00000068024	1.2436112391799232	-0.8395968526015862	0.2603920194184202	0.6854644283015914	NA	NA
ENSG00000088247	2.2640029199173606	-0.8408108759536852	0.37407458900084273	0.005864636055024422	0.02596640296911695	TRUE
ENSG00000131174	1.2681190642358129	-0.8409848802665748	0.27428829280962497	0.8064331039851048	NA	NA
ENSG00000235885	1.2394586058792376	-0.8424204700958335	0.27953654842732567	0.8375656967197597	NA	NA
ENSG00000111361	1.6488181606427663	-0.8435655279597521	0.3349494999555705	0.45171507612107975	0.5507408840396091	FALSE
ENSG00000185896	1.7108175570512258	-0.8443175462763077	0.3499592399980447	0.003826018617315061	0.01930943770926195	TRUE
ENSG00000021776	2.0403881704743663	-0.847420645270806	0.36218001829553353	0.38479333152583	0.4839530468258135	FALSE
ENSG00000166004	1.2549300367319982	-0.84798556170131	0.27767402810491487	0.9276480048995615	NA	NA
ENSG00000107872	1.3759501303439932	-0.8493357554882138	0.2808880829045018	0.30133789046405746	NA	NA
ENSG00000171497	1.6148138245162849	-0.8502655530468375	0.3535352112974036	0.0035678072151507667	0.01832788188846828	TRUE
ENSG00000252655	1.6150643607381083	-0.850315667542113	0.353596461112164	0.003569568612195273	0.01832788188846828	TRUE
